indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
143,153646364,187969462,156010924,177992329,186845496,201713324,212741567,217024505,193347880,229197608,222010304,220002301,213423072,211197865,191248506,189254403,199665842,199635216,198745165,188311208,208404266,232046459,277052816,28500
144,141471117,164069710,158899992,172471072,179009604,210425514,200726828,214145443,190000844,208959337,212840104,215352464,209243027,213592089,194198757,185884583,197174592,200218541,198091601,188503823,203487748,224543654,292678367,28700
145,152270492,186818677,166760500,171656733,187389233,233061936,214591509,209179078,200207904,226920977,219286178,219122239,215380750,219455734,194990553,194524496,205620629,207212462,202625466,195636926,208738753,228865627,281934544,28900
146,138553722,162194069,165090245,171277830,182200108,215435790,205190208,215193542,201602349,214581701,214920652,222384432,210042328,222569067,201361456,194392243,202039593,199252885,205191787,193850028,210637386,226103024,268915212,29100
147,143245376,157401662,174748909,162526832,184620117,206556981,202601720,207597343,203492371,217468046,212471938,215883040,210866381,209309612,196519913,196496960,202584982,205582536,203783328,196489027,211055762,224895784,256806493,29300
148,152257246,151774393,175391820,166773830,190602986,203624938,204898286,200509200,199808358,214688609,219102923,215172931,206264834,209182205,195852862,199238571,201417072,201226063,215964007,190691850,210776250,223742830,255402596,29500
149,136797463,160814835,181926045,166431537,183876178,196803633,218876110,202930452,208167818,210310131,218265343,222103927,207505568,202764468,201116317,201125511,196639334,202994579,203364411,201325348,205952390,221367194,246104610,29700
150,139325094,147625099,182870231,166458118,179995782,191959803,201102157,200742405,197785403,212155085,225603468,216579173,206033800,205660359,194255314,193197595,201895304,205622820,204137764,192946521,211283782,221260452,251658745,29900
151,146397130,170769773,178516344,185124095,196946895,215057298,231528557,227549306,233175117,241280983,246426167,239452898,238040917,244896385,222528909,227692083,235444806,243661659,241932114,236059145,252485004,262878164,288469206,30100
152,130124142,152762478,162948070,175057179,172620926,188936489,207429427,201832532,194171253,218477425,213213281,206247410,209142911,207681212,195293875,196789537,199920975,211700722,203419525,198146749,211128683,223939538,245373644,30300
153,124108071,148154084,152175890,177008113,172612093,192472425,222578695,193082444,196108188,223351471,223370771,210598191,212218561,209970035,192475484,192057458,212326545,215538122,205472477,194219459,219704214,222497802,248122617,30500
154,125272647,151390472,152517360,183154475,180132956,191121951,226217610,197384321,200644650,217090705,212386854,208017781,210675722,210568122,199310221,191923429,203053850,215284194,206480851,201530627,211931705,221387214,240813764,30700
155,114750798,151259347,149473598,183851418,179245579,200958537,230902813,198821508,195774193,210167077,219506524,215331255,218912501,222771414,200846493,194213771,207565482,219317548,204990768,198273152,226052932,226405010,243805096,30900
156,113138378,139444936,170409671,190792872,171791865,194809265,218835027,204493382,207388468,219497200,222290220,214444686,210119623,211281674,198517162,199283815,209850035,223006995,208120901,202566603,216568574,224580330,245469795,31100
157,113152810,141026807,153841613,175370666,177893066,197013148,209314468,203356523,196632767,210945944,218364273,219664524,215719895,209308509,198194178,202147423,205873789,227840069,217357523,198594038,221339215,230221757,249852752,31300
158,112586921,134304172,165203274,175188304,182283267,201659031,213213639,202322018,203061660,213663024,217018961,216379113,208160742,205900672,201963212,200620722,205219654,229233477,212286101,197947360,214436196,229529553,247276744,31500
159,108063865,125538230,148745593,160309002,181646857,192284676,216859509,209770328,194660633,214047980,223848459,210757809,207406337,207241763,207481791,212094640,207813828,221985816,214447148,191210010,212364701,225011120,238299750,31700
160,109811135,129817324,151730332,169915035,187768534,188316745,203963153,200491178,196780055,211853922,211754931,213740638,207479564,211094723,199911224,199558664,210878861,225932512,213848167,203875026,211788955,231558771,242542029,31900
161,108079320,119227193,147897417,162016320,191181079,190886942,202165593,207792017,199893015,225269485,212023508,217114977,209888021,217169986,198036865,207506972,212785478,228973377,224783333,208098466,225091346,244618693,247819514,32100
162,104790192,117711383,136128408,160880078,178259827,183559570,200740263,211685219,192412444,210644448,205825973,212823000,211849053,208998036,193520191,197981599,212562934,237715336,219471457,201932625,221841414,231373809,236328553,32300
163,109241694,118934638,139629748,167666642,188263075,185447020,208250257,201281810,201320505,217387172,208072183,207993999,211135830,217077659,193156374,196691795,213613826,225834050,220258190,205978573,218962874,231213294,246924515,32500
164,103871988,114834358,127692350,155421004,182718643,184258999,202835515,198660464,193761203,214181339,204777594,205185339,212113057,208611288,195653794,194097420,203087350,226383989,222492320,200916687,218863371,224500661,236860458,32700
165,100849972,115316507,126049654,158648990,169107663,192405753,203240989,200576319,194330085,215013639,209186674,214953338,216991374,212607898,192557744,198123265,213527884,229847555,228370811,200123857,225859163,230695885,251333029,32900
166,104723572,120492535,128467549,153571632,176370580,193167927,212193856,202671800,203057705,211614353,219441665,212679247,219275895,216057296,203590479,200147694,208900240,230331102,251076487,210415012,222926309,236702318,258464058,33100
167,98310729,111203618,121076211,157696653,175948561,191698095,203446872,204248341,202392609,208585931,210532538,217595432,205201834,200988272,197795019,198628234,201553250,222817264,238699166,204425307,218122010,233304988,249230144,33300
168,97378877,110237122,115581197,142127448,172673367,193511470,191910011,207560270,194392458,206758217,216203333,211262907,209973780,202624400,204047803,200255551,202008392,217529887,241216955,209528242,219402157,231805252,248561235,33500
169,101683809,115680478,129502534,150494855,178800501,203720368,201235239,199513546,200217596,215233265,217203520,213032712,212366247,214680584,197914073,202859350,205332832,216449097,254547584,235280875,228492664,231929721,256272255,33700
170,96039857,109942547,116065073,137391126,176871055,194034437,193160504,200205998,199128363,208804977,205303267,209297063,208101386,205484290,200799962,203702219,207096590,220730284,248544894,221572277,223432294,244312743,252412826,33900
171,96846735,109601984,122722829,132193360,167246476,192504931,201876731,204580696,199125490,206694244,208700643,204406421,208098726,206174863,203624968,196915629,213996488,215309796,249955800,220528264,244258704,234904647,247070343,34100
172,96094017,107357739,118943456,128252473,161622101,183183714,189430227,194808143,191153352,207290796,197790061,201393767,202735961,199701346,192316151,198450553,207127234,218590301,244311253,229422552,230465526,232977725,247344428,34300
173,98149208,105402996,117472032,123895732,161148428,184366901,190808347,195337036,192937771,209944440,205108486,205865700,202138512,202914941,197759313,200768401,208797062,220669212,234509918,236942413,237218012,235107400,245411999,34500
174,92584422,105658569,114913815,127129019,151621698,185940354,196466055,196413417,195861346,202447320,196402181,201823115,204736135,201920764,186072190,194837883,209305295,227494140,232920635,234745979,260436456,229532168,242279267,34700
175,94880740,105391422,113834696,120276514,149439686,190619053,189714196,193467999,188758647,209536362,202054794,205117549,200434854,195584817,189457071,197007871,202103276,228315644,232924247,246204375,243729088,237396712,253271550,34900
176,92345463,103096516,111481331,133253648,152700056,188281447,211530985,206437972,205691271,213598893,220577276,212616157,215178303,211875905,199663950,203806769,211961252,237222170,248171904,246710565,260094353,258617143,264675614,35100
177,90297286,103027488,105301415,128760947,139044839,189539298,202591831,193379055,196289644,200674408,200294917,201564971,199732603,194142863,188558240,192218303,197642294,220056507,231367712,234867291,267004457,266750280,246500014,35300
178,89100258,100648671,107849733,123518192,133984743,177624469,202901708,188861261,203183972,205939433,203942291,200721512,203010534,199483723,195537477,193881862,188146431,210580977,229016982,233167926,242382922,251902725,254988332,35500
179,88877213,99313498,108230214,123221547,131028670,171238362,200289973,190619018,188705126,200335704,204666404,202090735,200021029,197523523,190312808,184958187,190156942,208930192,236296873,233917324,249467640,259119589,247881207,35700
180,85776272,98084172,107739104,126297530,131359951,176622965,202611659,184289259,191392625,196314330,200097657,207213855,197871067,199191023,190387782,197519544,186998666,206460845,229382196,232078557,253016136,271926255,256707052,35900
181,105899944,118388807,126583809,140494450,158328603,195565037,225248095,216134342,222536791,228799520,229933087,230306546,226749652,220506403,212373057,210364393,208194802,226448947,252689269,258937780,268305644,302963324,283773209,36100
182,84168766,97926351,105934607,115051285,132909456,166610003,184746285,187209683,186988486,193426715,200143860,207456666,201243165,200779950,187733658,188258106,193954896,206533785,229662101,234888650,253142489,263382126,271069421,36300
183,84154121,97709635,107355496,115546563,137147631,160615871,196226008,197588487,190052887,201736154,202589722,200575166,202598241,208085675,184655454,188195698,190939423,199629979,220703873,233665780,245759926,272677043,260565334,36500
184,83323691,95791683,103841246,112863761,136350506,152991526,189997294,187726890,184371118,204151228,198232452,191069663,200709891,196939596,188476797,190654844,198346321,206915756,227475588,232568249,249163927,266407203,259738699,36700
185,81999543,94859213,101751154,113402745,132488918,150099571,191584730,198882570,189381533,201819759,196192402,191791554,199608919,200944763,188947542,192295505,200335936,206335464,214030257,240689404,256642622,258532286,266530589,36900
186,80830983,96838109,101276066,114319368,135735827,147260531,196864215,190214071,182817431,203614370,200135167,184532112,198797294,197754083,186323396,186055532,195428367,206162453,215264239,231750092,252340809,273801435,288580764,37100
187,79356262,91636827,97829849,112104012,127677863,150274759,199758634,188259105,181702657,194163698,199868672,185685835,197197886,200773373,187644046,186960770,196059103,207189171,214281052,221934809,266548067,262148770,270797278,37300
188,81884794,91344879,99339134,110784154,123772337,146742699,188214338,192698400,188556252,198074234,191829685,185952203,198058838,193212846,183240919,187834693,197095324,205401071,213850818,239643606,244256594,264158885,287096632,37500
189,76921177,89431056,94204270,108541920,120727193,141384385,188941843,187791814,184644540,189163305,198221899,179393359,196047485,189044704,190284597,181027090,189750205,201938772,209583431,220245617,236203080,257277199,275525517,37700
190,79999879,94522089,101501055,115893576,121455545,147249427,187639544,194541566,194587904,196802953,194014896,183333449,193526996,192152320,190466003,191808693,191727686,213121086,218101192,221591166,246238054,275177300,298051867,37900
191,75767870,85764983,100512385,108885565,121786209,147846580,176434898,182536415,183241355,201147281,196085984,186067729,194417425,195607434,195533428,190951955,193861910,202718996,222508169,226773877,233961837,274578009,296931661,38100
192,74948481,83782729,95340702,107080040,117979414,144212433,168832542,191153365,187944799,197160325,194918564,179283815,192390627,192138118,188349332,186637952,180297288,198022365,209154142,210816193,226135263,264558168,273763140,38300
193,77521943,85860678,98038520,106545980,118828512,142559594,170476644,188628729,188426940,193623419,211449619,179726069,188329695,188915870,197020268,189026557,196200325,205849429,215371491,217140404,239819124,267420794,287073519,38500
194,73594047,81756296,94677416,105780030,115429631,143806492,156084507,182061475,183469737,189033812,203198647,174370023,187713990,197434964,191325022,200332144,189975957,200118792,213224296,209021413,228216629,268150660,279700295,38700
195,72424482,83661727,92716747,103854109,117427562,139782884,163242075,196107769,177651199,190127822,207284125,172459685,200423795,194566680,190015397,184240633,183482341,199328354,205526321,208063521,222602839,267004271,269090945,38900
196,78314857,88590063,95447609,107093609,120204275,137814493,159874537,199775881,188110991,196671979,201369145,175500562,189439452,190713377,182570177,187593228,193859316,205017277,212597587,219776475,229903634,256631577,305480302,39100
197,72615714,82432100,90789093,105265743,116362886,132653329,155189489,193912015,185817176,196452969,190055916,168400077,180845694,183507307,181527123,187768360,193705724,198000431,208106770,203416203,225049567,254686030,284915114,39300
198,71262874,81714829,89357900,99452294,115348447,129918829,155895573,193507512,178329687,205765867,190225193,165796264,174511825,174475755,177494056,180708916,193598568,196610624,205049065,204214044,219123271,244129609,290832834,39500
199,73950261,82257251,90689116,98588997,117320080,129702220,155692993,189587976,181487727,210452763,182419242,159919675,172703442,172151084,176080644,186726275,190068368,200600067,214764063,206757733,216067881,248578041,300360584,39700
200,71038455,79333756,89634309,100090835,114930523,130670319,157060678,184195256,187587165,211730986,192987427,170234644,177022644,180811955,183996020,191066015,201154386,216127422,215206051,221333010,233280934,255035474,298900002,39900
201,69784920,80557794,86297130,99793592,111147239,131534826,155731700,181040530,190310351,202331363,186423954,167776850,173230335,173634290,188066509,184690267,198290706,209998841,224997641,216891325,224537900,253239370,294340175,40100
202,72895437,79980626,86071814,94590775,111031125,125819430,149688466,168434992,194040914,190840476,176790351,158039506,168679014,165891712,176997406,174577173,184653208,202101617,212154595,207424476,216961109,245654134,271723258,40300
203,71536199,79469846,86058201,95064695,108762904,125437098,147252944,168040603,185747699,188886711,184804099,154480704,165629686,168833569,175801197,180241424,179960570,203862135,208791734,219373269,224117308,249104520,282311001,40500
204,69471282,76924501,84490259,95294866,105804676,124306356,145364498,164717052,199426736,177694242,177312080,154670665,162114082,165163151,166777670,172218566,176049690,194828253,212744466,210387881,219128083,246893852,277855443,40700
205,71289406,76991992,82581475,94378853,105674300,127244454,144766154,159034289,196401113,178975713,181438920,150765062,162967406,163512054,171777953,179302209,176453107,197371227,210098983,214477799,219839576,244827446,263585887,40900
206,67261299,75271388,83536353,92997663,106164973,123054832,140479494,162610856,185561825,182378610,180768120,148834688,162990345,160058276,173213101,170158278,170984727,187806715,212516266,213263437,213174824,239150735,268595387,41100
207,67950517,75252846,81915388,90080713,102738132,122794253,139075970,158383494,182950680,174288801,172581707,143861505,155428825,159707412,166428522,164932773,172149725,183836452,207251146,207887606,217552401,233227138,251471734,41300
208,67054617,76096169,82204216,91135442,103657357,121972715,138116392,156293308,177268204,174984640,168493097,142698336,153706283,155664494,168089418,167445148,169043016,186542995,211968754,212107418,215752991,230291173,255467984,41500
209,66010877,74100297,81153361,89112939,99067452,115963096,135012234,156924209,167536318,168748684,162478521,141213812,152442974,151544737,165953562,164008794,166064209,178669464,199815841,207681727,216815482,225954290,262824436,41700
210,64074910,75191314,79378981,87046514,101443164,114831064,131676155,155442409,176019089,171215213,164759857,140785749,151318606,149277129,161522515,162060891,165170189,179602880,199556783,212474757,217869786,229950820,262599256,41900
211,82137951,89586305,93141035,100593444,114524293,133265726,153200616,174273148,187616239,191776982,182506655,156295240,168024260,167634202,177653244,178392020,180699214,197507971,214506688,223362355,243497372,254511905,281895426,42100
212,63214122,71581154,80203451,84515908,97776473,112943112,128460084,150578180,164084842,165633886,157891570,136170937,145146296,146909991,159215347,164592224,164264339,170321085,194025091,205450097,221146464,228150979,260613154,42300
213,63783822,71584459,80910774,85354688,94788261,114101062,129319883,149755589,163905440,166720309,154996070,136620892,144822614,148077872,158009778,165169459,162241734,174660814,188064725,210026781,212291932,233863372,257334227,42500
214,64799219,73266087,79852219,85531598,94471984,113222018,125313714,150942700,160676462,162124353,156277433,137284291,142746551,143653936,157496712,161588815,166868465,168722471,187877950,194071865,215566842,227872689,254535787,42700
215,63273072,71348229,78130450,85811856,92535086,111173579,124984947,146847610,159246917,158943518,158949640,132839689,140527350,140414626,156100050,160369205,165487709,171740809,185840655,192865425,212717321,232124846,257790671,42900
216,60892751,70592869,79100797,85734494,93943708,110883306,125953351,146136439,157908530,161192701,152377697,135767553,140360221,149620636,152184961,160434953,165678186,172479539,187738455,197662311,210325050,231907347,244956295,43100
217,66181371,72836990,81239353,87920437,97716005,112810864,131564919,146449436,159276086,156557729,151900968,130811001,135851976,139574022,157119983,161510025,162226490,170286758,185816323,190592549,210456179,234512956,248810569,43300
218,61813919,72025521,76579432,82682341,92537895,109100089,124313167,140543822,155773599,153894515,148321416,129559638,133925573,139988958,152352483,157864204,154912296,174299754,182078629,189909829,202525780,229122338,254997151,43500
219,60826634,69745159,78241652,82613589,91029561,106234965,121397110,137352921,150845136,150153798,143608165,126227761,133529452,134949761,146947918,157969110,151122225,169157275,181553008,188248770,199686145,235187910,242202056,43700
220,61460570,68360621,75676612,81566033,89520968,105179732,121106611,135159188,149083701,149887279,140819263,126759794,132556074,133073915,139405517,150427121,150509411,165672260,182795082,181590609,198067837,236928129,248166156,43900
221,60251269,67969924,74576680,81584456,90477786,107232183,121823366,139859921,150430181,152216722,140499153,125023225,132854894,132338508,142725127,150698217,149293576,169364483,182070293,184958797,200633001,229937560,250262924,44100
222,59321886,67184777,73155595,83750584,89077305,103953677,117267836,133667205,145748284,146863103,136839936,121874804,130622604,127835119,134739778,139916064,146212696,161507866,179449363,179606588,192762477,238627863,246713675,44300
223,58657145,65982657,73525021,79698709,89653413,102757011,117339064,133495512,147179323,147552048,136612266,121025380,125891238,127783463,133284380,143843353,147431857,159485967,180258238,183863697,201356956,222298844,243101015,44500
224,56677772,66135073,71098930,80544188,86296514,101089823,114090338,130206064,143982693,139286548,133312532,117479332,127630581,126199322,130006503,136503253,144485061,155541678,176095698,183426098,189742733,210307055,235064814,44700
225,58050872,63726931,71487171,80465088,89431195,103835963,116995386,132252142,144405260,142194551,135661301,120814883,128147106,128968141,128691514,139947167,144350450,159218028,174327682,178478844,193962097,224429110,245258486,44900
226,64943066,72752252,78011508,89076607,93524357,110345808,125594081,140871713,156409053,151208423,144608369,132954789,136397929,137284431,142177563,143981381,163809181,173873513,190591598,196325599,213329821,235300451,271147841,45100
227,57361989,61471862,71016597,79431007,85619398,96262548,111327101,127943528,135523446,133797133,129933252,115913454,120410987,123468837,129302099,131041519,140138013,158002036,170646294,173401625,186800983,217119074,246441050,45300
228,57534883,61442585,68032070,78056065,86205141,96880759,113340635,128551975,138060088,134604774,129818830,118290591,122085441,121923004,124649114,129183512,136634402,150211046,166793940,178516708,191092917,212282609,246688007,45500
229,54775043,64525048,70507950,79359583,85982732,96425794,109952609,125943551,135989678,131056469,128004754,117432171,117932360,120918184,125027579,126714351,132162558,149946568,167665434,173009499,185126438,216417858,255536340,45700
230,57121139,61824246,68216689,77984847,85219596,95745051,107058943,125025598,135485807,135019320,128421459,114749529,120555595,118561198,127399870,124953015,130334930,146836785,162873779,169127822,184692663,207970821,247442927,45900
231,54489219,60344315,66979886,76548775,86579997,98535634,110115070,124632194,131999671,133764671,128420404,115610806,116607652,117321701,126151478,125712093,132594579,144471129,162261658,172668801,188415242,215359468,241577659,46100
232,56125956,63618934,69667777,78124122,82796363,96223821,109114337,121281272,132220948,128227360,122360425,117578131,118005632,116824443,122438651,126002868,127177783,139747230,157913536,170919661,178387842,201874280,241778918,46300
233,55093872,61489733,65966275,77267562,85892699,94840699,105296441,117989827,127617906,122112640,122512184,111081708,113411839,112144253,123933915,122169525,126387365,135823211,156648618,168142228,177258495,200135268,233796675,46500
234,53132429,59890603,66576497,76148088,82664648,91724154,104532647,121111664,124466269,124688355,118460009,113229194,114090547,116913824,117486419,121330245,124097548,133619426,154968636,167243203,182294682,204989972,236059357,46700
235,56274267,62105540,67507101,77620097,85480305,94420837,105233433,121126058,128233303,124036021,117309566,111228801,113361867,113745502,118811404,120862631,122874239,134469891,156070027,164366082,175708238,203743777,227068460,46900
236,52101556,59122137,63473406,75982724,84229796,90870142,101641683,118120938,124710474,119805375,117089515,110646107,113224710,114843493,114760772,119342164,123397630,133458632,149342670,160209009,180233244,199247019,226625160,47100
237,51984326,60096343,65740595,74869827,83283999,91268475,100679822,115721804,121805636,123598948,114877706,109278357,109185811,110734858,115312898,115185160,120023938,130854806,147657683,160862772,175474741,194320699,217306153,47300
238,51544987,59313864,62576281,72386997,80191603,90054870,99357692,114694936,123058967,119577758,113896076,108662146,108563747,109048525,110932401,118551766,122638667,131637819,147173132,156926864,179824413,196588621,227857465,47500
239,50738030,58326047,62378189,71943221,82730583,88288081,100971171,114062828,121218149,116387886,113539640,105519866,107172494,110560389,112363852,112910915,117978906,127299921,140544037,150223405,167360123,188917700,214110837,47700
240,49713832,58915648,61075923,70819417,80864010,91665187,99804045,116521996,118306143,122640385,111682557,109007187,108251700,108818625,110730227,112599926,116580301,128543638,136639059,153419929,168543799,188729605,213810772,47900
241,60631358,66791134,72013876,81883960,91156436,101129489,115383708,126609678,131682113,132276426,129553680,122090623,119852245,118389283,119249340,122210953,130699458,139225062,151868354,161342982,180494617,201310779,233076746,48100
242,48741462,57484620,62664542,69426705,79140331,90836804,97606571,109229857,113197652,113618564,109723850,106056831,106746443,106829421,107812813,110129177,113747013,124280546,135648854,147341021,161399168,189355260,212247522,48300
243,49288022,56131928,59780465,68882052,78685729,87158828,96046213,110788402,117327509,112432471,110248219,104480875,104605679,107041522,107686536,110652376,112142226,125291576,133492399,144590171,158081470,185173256,206039756,48500
244,49903611,56504457,63022765,69891762,81419569,91055581,96180638,108059734,118371693,114109907,108595881,106317467,105784736,107008872,108183699,109651697,116747688,129093232,132676384,143283261,157044234,185296606,208176147,48700
245,48152615,54115648,61202275,67189789,79793021,89048814,92860233,105041338,118120919,109454276,108899115,102883187,103948620,102893757,106780446,108509776,110419384,120948305,140201768,148044689,159545420,188849227,209896592,48900
246,47223453,53674575,60000272,69095400,79936385,89599075,97293706,111239632,114726229,111992043,109642011,109418056,107151994,107387392,108918270,108613813,114383965,121573497,135129532,140108242,160005898,187585590,212026452,49100
247,49567713,55764490,60369674,67045413,79166304,87812941,95809217,103943844,115414042,111580658,109802487,111254517,106608331,107461762,104392938,104533014,109996717,119652042,130351259,138088628,151536562,179359708,200609163,49300
248,48700563,53197408,60922623,66786007,76332014,87428748,92463923,104124432,111007862,107518133,106286991,104777215,105361138,103031123,103783536,107471325,110964711,121876623,131452961,134578850,153675136,180663259,199345962,49500
249,46059395,53245478,57946985,63457905,76394546,87914069,93832815,102653491,106408234,105585867,105331602,101319164,103174611,102369171,99011451,101755478,106128345,115417273,127489058,129512813,151916940,176246936,199699236,49700
250,46770297,51260125,59034001,68232168,75629417,87598231,97176814,104288066,111639253,110168005,109517800,103800769,105902852,105173299,103735293,105886136,113514159,121694761,133151313,135660348,154067374,181526892,208687990,49900
251,46491073,53358638,61329845,69883124,78075217,91407872,100582523,110485364,113097120,114339669,114764704,110548728,116437343,114390992,112376915,116030260,122250142,131649349,142094927,141723994,164061992,189028482,217169200,50100
252,44001422,51357718,57872361,64688575,73522020,86892880,91376528,100314308,104024799,104196619,101976061,98089195,103275061,101930408,101264779,102164345,108348919,117037573,126393293,128571220,145549836,167603668,200080815,50300
253,51687420,57640532,60965723,69720875,79395416,87140513,96082293,103483357,106484818,110275335,106963953,101762026,103259343,103774191,103838713,104711770,109267819,119110092,126614119,132472905,147023518,171306732,199467936,50500
254,44943898,50006959,54689433,63490212,73336660,83149304,88292870,98690458,103402559,106415138,102921481,99729272,101441534,103095737,98641719,100815403,103808308,113610865,122491957,124788281,140522553,163979752,199011413,50700
255,44401507,49476413,53973348,61661493,70380935,83804743,90533856,97652481,101998236,103369907,101479360,98934879,100571355,100208034,99627838,101242063,105034688,112193292,119680460,123765812,142717414,162980140,195657944,50900
256,48890778,55303728,59325363,65169645,75147922,86296392,93790952,101876140,105364887,107429355,99998875,100041058,99688723,102536017,100600176,102624243,106844920,116797411,122251069,124776777,136691701,162177298,192653720,51100
257,45748105,49060746,56452529,61785850,70368379,82475555,88957609,95097661,100866102,103298952,99884974,97533945,97359758,97501919,98130630,99905227,102624902,110662213,120277046,122346179,136044843,157197937,190505871,51300
258,43491901,48291772,54474181,61513482,72823128,82227966,89658643,93936028,100651522,103329428,99090602,96122102,97452249,96771353,97963347,98746768,101876381,108815249,119660834,124451727,134700930,159763133,191094131,51500
259,44445036,49474486,54680486,61361043,69902387,82871421,88332797,93066842,99742948,100909102,97122495,96936874,98549200,99967839,96661108,98011171,104895741,108594854,117325932,119404747,131349453,157346554,186349167,51700
260,43517943,48966412,55611960,59032205,68384726,80587336,88845215,96041946,98101465,99910366,99604836,95662912,94469719,96496857,97261332,95994006,103146403,112267996,116797747,121173247,130430541,155653196,183141776,51900
261,43628575,47234850,53350894,60041556,68445942,81557325,89356678,98118953,97938590,100771576,100215593,95659581,97829769,98955172,96979038,100262396,105777829,112021919,119673884,121560850,130670400,153885165,178949787,52100
262,42552528,47259353,52624708,60404927,66495064,77987560,84661242,93682345,95587935,97854535,95553815,92516616,94441986,93083646,94749586,98039742,99561053,107677175,115161864,115535818,126162622,146335608,177531338,52300
263,42695369,49305599,51062900,59556185,68375146,78769116,88145271,97571999,96535634,101107893,96402030,92536690,95696440,94468567,94521170,98625613,100125424,107960965,114592470,116879731,129592867,149158794,176544995,52500
264,42047719,47061897,50357520,58749803,66295857,76957572,86136547,91676256,96427895,96213099,94592390,91713372,96686138,92671134,93738539,92586243,96933923,105758965,110961098,115483844,125714810,141830648,168207670,52700
265,40459289,48539186,52810645,56606115,65019189,76581717,83631761,93240928,96612501,98739528,95219253,91230317,93415826,93442185,93919789,95445981,101098816,107364027,111991172,115454045,126471596,139971931,170936881,52900
266,42297982,47220014,52061754,58092543,65507347,75373868,84138392,91813983,96685925,98856432,95028696,93695345,93562979,92405714,92092978,95910906,95983822,106395538,112872392,115704929,128517460,144097601,172468973,53100
267,39331708,44712672,50092744,55356524,64124449,76521807,84406341,90486368,92645407,95412195,92702468,92120417,91886687,90592719,90388348,92392746,94463508,105618287,110208650,112338658,122524143,138832952,165159507,53300
268,39815444,46839570,48877805,56856996,63154903,75493717,83129827,89314723,90116344,94741590,92571451,90627979,91716824,91585638,89327655,92898489,94058689,104855245,110467915,109196195,121810285,139396793,164948118,53500
269,39862945,44627364,49998520,55298941,62156123,73774052,80762557,88710335,90556754,94215104,89854642,90260125,89590143,88696245,90104377,90852430,92852383,101837666,110344669,112253290,118994260,135206771,161897558,53700
270,37996243,46572768,48749170,54756242,62231603,72980622,82790918,88946109,92883612,93277140,91514154,87894739,90849749,90597380,89911119,91642685,96098609,103189997,112406599,110108736,120302729,134725685,160528574,53900
271,49423247,52884083,54899183,60712001,69883775,80372245,88772520,97126361,98735402,99717615,94653759,94246993,96762008,96865730,94973138,95074013,101438537,105886373,116098183,115103230,126140535,143957884,167045428,54100
272,39396759,46004990,48656392,53591899,60231533,72539628,79277841,89241286,87404774,88817538,88844522,86494409,90928013,88967284,88512217,90647840,93160603,99189840,105099305,107555906,115314954,132184302,154472303,54300
273,40668858,42981418,48315314,52695423,60658777,72667410,79771160,86841666,88902265,89869687,89449358,88164450,87381468,87744545,88092466,89644191,94147327,100873414,108168091,109591014,117537573,132811491,149580792,54500
274,40330827,45603846,47229670,53162115,63966281,71353197,81640505,87812895,93105190,91193762,89734998,88641735,89546247,88957009,87817982,87480637,94501745,97325037,107549038,109226620,117371525,130417830,151990923,54700
275,37798563,43349556,47084220,53323675,61952669,71964177,79813025,88739747,91543008,95420268,89599555,88390758,93127254,90067305,92275083,91874884,96773292,104717603,111294622,110740955,121649538,135573035,156560999,54900
276,38086668,43743789,48560862,53489797,61557716,71904015,81514744,92262839,92978223,90485298,90769833,88222034,89451033,89529823,89408955,90399107,96735785,100702492,109286313,109953865,120990744,136349662,157857858,55100
277,38968669,43287390,48344148,52780411,60534960,70718769,80260549,89101674,87408089,93088139,91993384,85635647,87725630,87302345,86994208,88703806,92335603,98080078,106883000,106801899,116257870,129523432,149901721,55300
278,38274120,43799346,46856237,52404438,61414230,67940340,76021147,83737137,85902135,89074022,86769838,85642662,86539265,87110516,87999409,87195461,92066712,98228060,104055816,107972951,114205832,126492794,144970016,55500
279,35605249,43204478,46058896,52048238,57507553,67935546,78670510,83286253,87627385,85356325,83106308,86739668,83694365,83561061,86968815,85679534,92291341,99630202,99847531,104045537,112202657,127123894,141669873,55700
280,36395944,41350485,45910662,51244717,58342221,68005954,76781373,83674263,85539001,84734346,84987799,87057403,83859979,84762661,85373184,85282263,90734253,95632214,104533880,102754865,110872573,126157967,141267294,55900
281,37209708,41331115,46065845,53125144,60630886,74279233,84755428,90537810,90092090,93948837,89155968,89208505,90515091,89969215,89628865,90206927,94947004,100673003,106088242,110374675,116928512,127410647,148685335,56100
282,36194875,41141310,44630492,49090392,57470982,66175230,76295220,83133763,86534956,84483838,83985288,85047958,84941755,81030233,83585006,86213319,88023303,92987623,102016056,104966323,112400209,123603890,139103947,56300
283,36872520,41286429,45237114,49757489,55839009,65067816,75638927,85004087,83452464,85526964,83152108,81045625,83898987,82743247,86102980,86845196,91237638,95476345,103718585,100686768,110451479,124779948,137596225,56500
284,35523221,40269702,44193590,49184832,56719783,68781301,77478745,83457145,84120196,85250128,84032919,82994177,85042969,84455702,85708842,86079746,87553492,97826119,99958110,101914785,112585164,124760154,138119238,56700
285,34107332,39054207,43737898,49717720,54781426,65029461,76647861,81175945,83880042,81660350,81788110,79761202,82012455,82428447,82839101,84962917,87064675,95107009,101787758,106542232,111521424,124951415,140591321,56900
