indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
33,16688012,18112216,16904347,17413336,19220561,19711971,18849347,18120609,17197723,16732912,16927295,17226806,16271500,15686243,14521756,15036385,15471351,14971884,15128066,19726011,14863751,12201816,10967305,6500
34,17691963,18962620,17619090,18171394,19856576,20471232,19381958,18834657,17254699,17422379,17716810,17832650,16959853,16107109,14948548,15585345,16000672,15284403,14940938,21045175,16166703,12857151,11534137,6700
35,18147486,19357176,18175998,18602236,20758090,21243013,20177955,19454628,17641651,17598282,17731615,18267774,17169734,16485455,15195428,16032783,16520619,15708410,15356603,21051259,16399453,13783690,11839876,6900
36,18904097,20253363,18915311,19461126,22153407,22544729,21114997,20265890,18360184,18267474,18329350,19133823,18002348,17279935,15917319,16561691,17272918,16583081,15953487,21408812,16858375,14489448,12396744,7100
37,21567534,22893075,21370864,21714335,23684120,24262419,23107708,21756992,19531315,19357650,19541094,20036395,19057959,18098195,16964713,17386196,18348252,17715213,17087557,22585560,17787638,15135726,13129749,7300
38,21058389,22392834,20810894,21395521,23691180,25120272,23179313,21572904,19426303,19452724,19757911,20100028,19179630,18165342,16977599,17781803,18342327,17661440,16904413,22804365,18081982,15236008,14439443,7500
39,22194687,23907118,21996926,22594792,24812482,25607123,23606103,21906928,19414314,19545196,20013076,20461441,19414854,18675151,17197960,18010966,18838298,18194411,17258066,23102458,18334893,15280490,13985711,7700
40,25216726,26282637,23433956,24007086,26203210,26956877,25517536,22870148,20120898,20259012,20610383,21046294,19995570,19358420,17908911,18760075,19182422,18667815,17954982,23568730,19298824,16075352,14708135,7900
41,28468578,29411607,24451095,25076085,27261706,28490866,26226129,23681832,20985361,20762583,21194875,21833364,20640915,19629703,18162182,19087238,19891444,19430157,18294049,24757009,20181748,16650446,14952783,8100
42,31060297,31855984,26431861,26358698,29132743,29427403,26604439,24326564,21081862,21229613,21587049,21976117,21039839,19896138,18459730,19166997,20258833,19499520,18339077,25117021,20360168,16862720,15211146,8300
43,37573851,36038491,29397014,29377025,31355011,32526969,28859516,26238366,22734729,22481098,22734756,23197931,22297080,21080684,19789662,20586167,21477453,20675744,19612177,26161211,21500761,17942052,16153042,8500
44,39477653,40349288,30886108,30700054,31961006,33443425,29209461,25677578,22835531,22618620,22555509,23033317,22095861,20878468,19538631,20396935,21153592,20583226,19776199,26408146,21398106,17722701,16112891,8700
45,42165551,42799778,32998728,31959186,34380533,35477909,29986798,26442790,22878531,23659721,24126749,24430493,22203537,21672722,20198076,21079845,21612668,21258041,20157957,26894032,22198345,18281573,16442486,8900
46,49990348,50548439,38426568,38029669,39188780,40425100,33267743,28786505,24789315,24929458,25605033,26414959,25201574,24446935,22885271,23491204,23625916,22829097,21479421,28860816,23682507,20002646,17728078,9100
47,51791143,52257956,39100532,38003007,39493079,42393221,33027896,28505103,24265957,24420356,24925955,25434085,23646005,23293677,21152219,22308631,23202600,22568761,21371141,28802266,23959584,19871874,17559849,9300
48,56348712,55907565,41976533,40375597,41008193,43886572,34677772,29266383,24950450,25174861,25235396,25959169,24131571,23493564,21347411,22830549,23533283,23269555,21917593,29201438,24523009,20287629,18262612,9500
49,61138896,62392606,48604097,46082638,46232799,47678084,37814003,30647516,26317023,26523528,27028434,27404354,25957055,25197766,23332043,24236907,25199491,24353434,23113256,30660366,25549781,21100856,19083403,9700
50,66664025,65621800,51149753,49314881,48999671,49563682,39188191,31495857,26628782,26992482,27502795,28137720,25943942,25269388,23091583,24255455,26532153,24556955,23418730,31671010,25863622,21478161,19256550,9900
51,73980893,71808752,54129887,52996687,53054747,52875338,41928593,33461734,27818171,28356922,28555506,29058254,26968350,26397935,23607727,25091834,26533908,25760516,23929349,32522366,26800526,22364720,20194061,10100
52,79562658,77233505,57529626,55958104,56131239,56371998,44281407,34110185,28552932,28591158,29510861,29878924,27552815,26901227,24492531,25484013,26818240,27574410,23987291,33175750,27574920,22970283,20379516,10300
53,86366307,84822901,62680736,62448741,62493569,62427294,48149801,36754985,29526809,30223979,30777798,31378178,28560986,27819760,25614799,26775218,28172184,28022790,25105972,34420547,28214961,23996555,21272701,10500
54,93622838,92911936,66397095,64159804,63948668,64473784,50962403,36575784,30001298,30589060,30989616,31824760,28845160,28067511,25826770,26989881,28181456,27811630,25530912,34954238,28511665,24152662,21613329,10700
55,110310140,108168301,78052324,75753664,73505679,73307658,60403408,41058233,32706867,33316469,33459222,34321553,31481177,30558476,27775604,29244283,30301919,29497385,27313211,37125702,30307336,25502446,22727700,10900
56,107553343,110902037,78551455,76776344,73205960,73041170,61747199,40425933,31953589,33436778,33641632,34246100,31516156,30490635,27452565,29079415,30749451,30101405,27402833,37844414,31372990,25876069,22961303,11100
57,113963760,120387858,88395837,83322698,81003143,80961292,66772535,43709192,34100486,34442600,35523890,35696455,33020399,31892813,28400469,29852966,31562963,30889913,28192421,38865769,31212460,26919121,24566965,11300
58,116738621,128311234,96221428,91213501,87077260,84646047,71858478,45644459,35617816,37345431,37199635,37902325,34963138,33565226,29129199,30291420,32248109,31864297,28590122,39843659,32210100,27475883,24800101,11500
59,124468139,132424704,103554481,100312673,94339809,91628340,78107248,48703007,38127522,40742892,40480729,40604905,37213598,35959160,30235536,31510895,33299300,33011906,29389466,41291602,33050062,28450027,25735227,11700
60,128008715,134496981,116094031,110447211,101831310,98450534,85736465,50906237,39873700,42374112,42249946,43469888,39623831,37963358,31173918,32118004,34301771,33808177,30145626,42136884,33194258,28879340,26110249,11900
61,132860159,144687898,119577566,123150659,117532105,112318261,96789873,61635955,49229429,51871004,51672441,52835018,50258746,49419202,38264135,38768438,41037379,39440706,35101489,47301826,37894473,33212780,30773176,12100
62,137357206,146733696,121835568,123641675,121112740,112201888,98291596,59586464,47988789,49944212,49238647,49471697,46532264,45846615,35637865,37374560,38690644,37154355,32592415,45548060,35276220,31553233,28343595,12300
63,139717840,147031473,124618936,128970819,133225779,125022985,106006695,65406411,51577291,55438080,53022363,54562948,51339565,48975968,38384901,39954206,41722040,39238213,34461891,46633658,36506341,32315199,28908054,12500
64,152831996,159210363,138577668,141410377,146924888,138040727,116507250,69753842,57845059,63736219,60863344,59128419,55690972,54852508,41928056,43207063,46926050,42709509,42273963,48892209,38241565,34060121,30401038,12700
65,150923705,159804995,137450448,139569930,141911689,138765995,123402047,72533428,59936557,65066566,63943618,63687770,58097106,56711350,43730441,45818805,47711174,45359129,37722130,49177930,38873799,34192671,31017527,12900
66,146663125,164084540,139296788,146495028,152857416,149512307,131530579,78608916,64613490,70825789,69296452,70265356,64548688,62229112,48866947,49088973,52213717,47496896,39907414,51996459,40269152,35648218,31767095,13100
67,146404093,167487667,145381814,152665320,156769994,161527864,141988162,86326230,71824519,81305493,78663817,76533669,71338306,70157688,55020847,57146034,59607607,52895769,42632934,59458194,48884310,38158592,33777578,13300
68,147465072,163851831,151099727,156458482,160794052,168743307,149705434,91357153,75691783,86019152,81630024,82293888,75099422,72699221,58390099,59577665,62187194,54097064,42903705,56106215,45283699,38909565,33880940,13500
69,147835406,160648754,154949301,154834834,168297987,176858171,155658499,96744736,82335387,92354596,88043962,87634522,79925861,79248548,61042955,64085194,67125025,57210250,43580807,57147541,45795725,40625679,34782925,13700
70,152087281,163389844,157335476,167654826,172615720,179580632,162322122,104591832,86596866,101029222,95308774,94803696,86972134,85415503,66588801,68545144,73524915,63128864,46103136,59189814,48046959,48625922,35997313,13900
71,153777671,164520272,158639618,169757598,175727342,186843853,168905258,111985473,96376042,111402307,105903258,104691153,98238093,94402727,75631655,77424239,80948701,69440856,49680203,62392260,51435982,51823530,38471768,14100
72,153284257,166978915,154849871,170894112,177297610,191345170,178126317,113160822,96892760,113997948,107597766,108664674,98504598,96477215,76971213,78278996,82044983,71196740,51599828,64272738,53044576,51605777,37878316,14300
73,166924137,179592850,163219963,180905366,198732343,207051280,194968460,130434353,111201257,126387795,125080907,125390262,114425914,109381237,88318429,89743527,95381316,83393535,59305795,69935070,59278500,59039197,42423727,14500
74,153885083,167270216,160267080,169027410,193345346,194496962,186133750,128929499,109573010,127744570,121826274,126281335,112613507,109285055,91412449,91025690,95717855,82874297,60906237,71538902,60832359,61885284,42683018,14700
75,151209555,167897635,160059259,170490813,191631578,199133630,194821823,133047724,114306604,137681124,128126510,131576723,115617896,113022068,94697828,96412943,100091576,87952000,66353810,74946312,64424661,66464329,45945175,14900
76,158331971,172304156,168528088,176072866,200724786,217381200,203997006,141371989,121766824,146186026,137447759,139466132,129088218,122861601,104676884,107819930,113820509,99345589,74755870,80869503,72278015,74155132,66110372,15100
77,151686976,168153118,161067537,173434398,187319622,214015019,197750246,141010239,122398377,145456574,141955961,141577774,126335677,123255498,106097531,109102331,113657473,100215828,77341684,82484619,74837006,77156570,56847113,15300
78,153321103,168605507,161086788,173001942,186659539,215246949,205276676,146517854,123855400,148648653,143799030,151286958,131483385,130982311,111748610,114280661,124495388,107254758,84217370,87705412,81327243,84301778,60539231,15500
79,152460605,168236476,163169022,175748718,187758093,217357027,212216101,157893231,134315568,158373063,152275473,158095610,138455998,135123145,118068675,118435941,127529855,116746447,92270592,93406148,87611930,92210726,66908982,15700
80,153128792,169203365,161183427,172251498,185781969,204662163,212618461,160812195,134950485,167031126,163934587,159916139,143348984,140611048,118725524,120284924,128808337,115232568,97699331,95967521,90749715,98480919,70389235,15900
81,151465432,164433499,162885474,175079729,191512605,205904446,220074750,161925632,142861317,170091528,165364210,159808108,155098503,151054783,130197004,129865692,135262577,123915661,103928937,101379371,97015446,105152678,76447396,16100
82,153694278,168975570,166702148,176636003,197631602,210242926,212645923,166510188,147045327,179162836,167754331,164518729,149139745,150529541,129536220,131342397,141754503,129707187,107141145,105275241,101846365,109876857,80887941,16300
83,150823654,165583640,166729115,178093048,196554509,208127632,213147444,167427490,151971658,181385266,173047626,171492241,155605353,151455287,132329094,137048094,148486163,139218551,119084570,114502742,113373471,124938152,88957953,16500
84,149253923,164470741,162649013,171026131,187057544,215037168,202591784,168101760,147544887,178996439,170237392,172509666,156482959,154190033,133390066,138204555,145449216,137611951,123828890,113211269,113386386,124316738,92515728,16700
85,165369936,175096495,173549584,180348516,195498661,224827478,215130007,181635748,158807745,187351255,186869465,190989042,168607689,169359234,143995884,145107900,158138230,152614633,135631003,120901034,123207961,136074297,101939867,16900
86,153529474,164220560,163276820,173918207,189221535,211574019,210922387,179225279,156603582,184131099,180912841,188272418,168902205,167202759,145750132,146552723,157880082,153560422,136200234,129128017,125540005,135532817,103678897,17100
87,152565884,163672587,161847252,173490391,186730903,209241740,210751944,177071206,159096422,185635499,184309174,185700678,165741986,160672934,150233337,155134203,167648271,164618144,142889921,130683941,130707556,142229609,108942483,17300
88,158921439,162112462,162582255,175934693,186024862,209909716,214483054,184330357,165428923,194581554,188973735,194096849,173941362,170044205,149724080,152224776,164184068,164717246,154378194,133911363,137656497,150388874,117424636,17500
89,152334274,162035620,162270633,180840865,184151811,207885837,220249433,177335959,161850179,193221776,189993115,191029943,176022017,176774186,152413963,154770074,168257408,168238623,160036831,139853029,143687338,157794290,124608615,17700
90,149908495,163544800,164238163,182229592,194051228,213158510,217953864,177348564,161684738,194133129,191932526,190117716,173801555,170063652,154613681,158373697,167294944,172420172,161529502,146760172,146823987,165720762,130545175,17900
91,172777127,183858314,179161735,195155060,209366420,230815707,232950748,199009355,186398125,215544700,212725757,216110730,210853103,203538709,174473030,182710138,195347185,197865247,189275581,167897194,172407017,186381524,148639410,18100
92,149472317,162400635,162679664,174074187,190226399,206760465,209045620,182469782,167744311,198813288,192298505,198914149,185270186,180589502,160476959,162742173,178643050,183973653,178453439,158554010,164765493,177303671,139531359,18300
93,150237657,165013308,160833272,174130353,190897044,206385380,212869583,178443204,163998911,198391368,192960151,198061077,185235593,179440491,156845380,160532227,178306239,184850810,183537710,162191123,176700031,188988305,145725851,18500
94,151231595,164081173,158460119,175846770,192086579,208271414,212227827,180324598,165902342,197769226,192748128,196627132,185454831,184457845,160433740,164212807,178121157,188686578,187397133,167456981,180259449,188795021,151317356,18700
95,153825290,164820884,156935529,176853789,192548605,206949480,215348037,184159701,167794050,192252001,196845748,197576981,184643172,184059146,166200771,168483099,183438297,195422577,205885268,175320257,192038864,211322312,164324093,18900
96,151318512,161171038,157297835,174049458,188980038,206854784,218924888,187738362,169827456,198045408,201313753,196837829,186329399,184903998,163557468,168632848,180565680,190036653,193999808,172689916,190747651,205405231,169789679,19100
97,155859618,166483582,158787609,173357170,194553206,208839054,218393871,190274841,174309798,199819688,201352158,206010254,193679080,187965270,168456279,172583248,183295401,197360876,196612654,177993204,197228986,209937125,181621055,19300
98,152877538,165225081,157815933,166942968,195880778,206854913,215901288,187214853,170561188,197507093,200809249,204333986,190187040,185752574,168165721,171127060,180119428,191877330,200425973,174465973,192700651,212323059,186925825,19500
99,152415342,163347366,158317082,168941717,189545397,205595699,220866218,188337879,169560196,197526378,203958395,200593330,187733085,185221393,167623410,168484453,180425246,196750222,203141601,175227761,196375355,217208744,193942923,19700
100,155236776,170078919,162119221,171114239,191117441,208321638,224507824,191552783,174702790,199935406,200545250,200463609,185604765,187753265,173555291,172473055,182253615,198028346,205442130,179108553,198619479,217690390,205723835,19900
101,165997762,165756805,160313717,170053771,189784477,224553770,218957602,194776967,174538914,200461607,203691318,212081388,202550916,202820526,180493099,179496427,188823944,202039521,212858581,188346316,206691412,227702360,211548934,20100
102,155731467,165406403,156991590,165438437,181518360,213682016,210857772,190283856,179132205,197716076,199427676,203009142,193058304,193650505,171094694,175282987,185961830,195663937,204209148,183751642,204014501,226753188,222992340,20300
103,160872714,164152046,165417224,170595479,183046747,212913927,214672807,190664738,178104484,206039147,205067167,202776605,192393506,197245562,174096929,181470765,195941405,206332364,214135330,193050358,219779416,242336705,228543939,20500
104,173504922,162660154,163272235,166856449,179308705,206245284,212716754,188469468,173960896,197014440,198463218,198378006,191428152,190023354,177858442,179660530,189504334,201415910,198927543,186529667,208503760,231160254,228614793,20700
105,161799357,162892214,163139665,166178687,180595139,202794969,217794935,193505749,176574046,199709913,199396544,200607831,188536642,186741430,172118063,177920655,190422490,203347660,211053451,188509572,210545877,234522659,235298640,20900
106,170112218,187643201,177105003,182253072,194444583,218140307,234983126,208428676,194103825,219072077,225835948,219508025,206749555,206362004,185472287,189031915,203379746,215066915,224496968,197102591,225294525,244301410,249742701,21100
107,155216091,172058301,161169385,167692918,178771042,198567215,227305079,193704253,181364867,202537037,204660185,205162112,188522888,186091859,171574363,175530207,185873944,202794669,208219685,183965528,215299266,236431410,245199911,21300
108,159205934,190915663,163656599,169938062,180703167,196192087,234558170,200761832,182845863,204333682,202651250,209335436,192509410,190862336,172809884,177981520,193875324,205561394,211296201,190093587,215652122,240375923,250303045,21500
109,168084451,192773507,174902490,182152747,190248485,204322603,234352725,215498958,189777149,210504274,208988603,209373963,192061630,194729831,179277023,179693758,190668875,205004357,217597697,195973069,214975771,241901172,266171540,21700
110,166111150,173154686,169542804,170898028,178575251,194676507,218783294,207110554,185925799,205216664,203138838,201726751,187745387,187162062,174528060,177011938,189488588,204732388,219702868,196289793,219676900,248084032,259127632,21900
111,154646488,164599564,180470656,169204023,181542991,193000073,215661710,200355892,216783462,205001921,204625642,197539709,188168478,189936328,178240841,179310332,186480874,205846120,211380415,194583938,220639531,243029735,261636762,22100
112,164492293,170640317,195111760,174379298,183123316,197262434,207710788,196545119,196822595,251376563,203144973,194368836,189461168,190451982,182363232,185213057,192028907,205754935,220691251,197933106,228419155,254347309,271976219,22300
113,161297314,167351174,170407996,175932095,184740689,198242852,209479931,201386543,193428818,212910237,211924029,201607345,194798434,193837888,179223105,181696105,191580773,201930826,222464861,202230885,223015339,253847626,264486379,22500
114,155527668,167685530,171186198,176247794,180646123,193354447,206851542,196939646,178041103,200149436,220459242,196155025,191142740,188870153,169718034,172748069,182458001,192414414,207353554,191213270,210992168,238824786,256015777,22700
115,159563208,165708134,165990946,184879574,186287027,196794073,210967004,202275556,186786309,211027281,237244631,200656914,202263500,199191965,173863505,175737002,184782506,199356212,210709190,193294951,218885430,246841200,259208507,22900
116,157845552,170726898,166576037,205121287,186678411,198687961,214260849,202185715,188311490,209829867,224319212,201088094,202997936,199096002,173571676,178380957,185700627,199531732,212136103,195339502,221727480,249929332,262444721,23100
117,173640402,164291691,163011289,195697209,182252370,188099734,200811249,199003531,187689721,215900583,207535854,233431883,186544514,187574447,171156306,170689208,183225610,194397923,205189217,188702640,211831996,243843913,258639004,23300
118,161155226,170230217,170645902,178580207,185695871,192706321,204537170,201225773,192269339,211456260,205614174,220994254,188916330,187414047,175550437,173751220,187026349,194878725,208911887,191211974,215004516,243090247,257580026,23500
119,165747168,163485827,162521270,181275427,185015954,191722576,201125568,194694013,193892664,208527847,203032229,202366994,187787893,183738317,174654061,170977994,184871100,190242633,205018341,190622618,213944163,237435784,254864874,23700
