indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
184,11302,13007,14967,16285,19852,22423,28519,30226,29523,30800,29927,27319,28586,28096,28259,29147,30350,31815,34993,35633,38448,41039,40299,36700
185,11037,12799,14518,16235,19070,21774,28514,31745,30077,30236,29384,27215,28205,28490,28088,29082,30250,31336,32636,36433,39157,39543,40874,36900
186,10771,12892,14330,16213,19351,21254,28988,30087,28867,30313,29757,26015,27891,27764,27501,27992,29360,31103,32597,34879,38216,41446,43867,37100
187,10478,12099,13660,15733,18046,21442,29182,29547,28405,28626,29424,25951,27435,27914,27427,27846,29133,30978,32189,33101,39968,39377,40858,37300
188,10701,11943,13730,15375,17314,20758,27297,29894,29169,28977,28025,25728,27285,26687,26599,27729,29085,30432,31839,35373,36381,39339,42858,37500
189,9966,11608,12930,14916,16749,19844,27152,28882,28379,27460,28696,24675,26768,25859,27401,26525,27759,29675,30995,32313,34879,38048,40855,37700
190,10268,12126,13829,15737,16653,20447,26679,29600,29545,28220,27806,24983,26205,26054,27133,27825,27769,31024,31878,32188,35972,40186,43624,37900
191,9648,10945,13514,14688,16587,20361,24891,27626,27683,28698,27932,25141,26138,26352,27562,27538,27909,29375,32280,32709,34046,39859,43211,38100
192,9451,10567,12721,14290,15912,19587,23599,28635,28055,27868,27524,24030,25572,25626,26358,26664,25791,28456,30119,30196,32630,38075,39632,38300
193,9685,10732,12950,14108,15857,19155,23618,27899,27867,27090,29594,23845,24895,25004,27286,26762,27782,29293,30754,30813,34258,38214,41080,38500
194,9124,10140,12451,13905,15297,19162,21532,26695,26897,26212,28184,22907,24549,25875,26284,28125,26677,28278,30180,29440,32332,38030,39772,38700
195,8907,10288,12036,13535,15371,18467,22252,28375,25720,26036,28309,22428,25941,25204,25851,25681,25577,27922,28897,29076,31287,37512,38037,38900
196,9529,10789,12276,13819,15577,18092,21626,28605,26952,26695,27288,22626,24283,24525,24612,25920,26765,28503,29619,30430,32094,35804,42596,39100
197,8778,9954,11622,13467,15019,17260,20820,27594,26376,26479,25585,21515,22981,23359,24268,25737,26573,27266,28765,27998,31117,35239,39566,39300
198,8534,9792,11355,12630,14711,16754,20716,27174,25130,27493,25437,21009,22021,22030,23555,24577,26325,26913,28077,27871,30137,33549,39914,39500
199,8808,9804,11363,12369,14840,16581,20520,26458,25322,27824,24164,20128,21586,21551,23135,25192,25617,27242,29146,27942,29431,33832,40935,39700
200,8361,9374,11126,12426,14436,16574,20500,25493,25889,27700,25299,21181,21943,22396,23904,25531,26799,29024,28991,29623,31451,34384,40330,39900
201,8163,9428,10628,12286,13873,16529,20172,24804,26006,26248,24261,20689,21292,21338,24230,24456,26216,28007,30003,28813,30076,33935,39426,40100
202,8443,9284,10499,11587,13649,15679,19177,22987,26255,24684,22834,19336,20535,20250,22611,22943,24243,26702,28069,27311,28826,32587,36182,40300
203,8222,9124,10424,11555,13246,15477,18691,22698,25048,24217,23694,18806,20023,20470,22317,23417,23418,26634,27383,28605,29487,32802,37161,40500
204,7925,8749,10131,11469,12810,15249,18280,22050,26507,22645,22567,18746,19460,19825,20948,22240,22742,25289,27617,27208,28570,32143,36226,40700
205,8049,8700,9860,11281,12680,15449,18047,21123,25867,22578,22812,18021,19425,19481,21371,22924,22576,25391,27132,27507,28381,31548,34137,40900
206,7546,8456,9878,11021,12634,14794,17372,21283,24248,22785,22553,17595,19197,18921,21380,21601,21691,23988,27170,27091,27373,30622,34451,41100
207,7532,8371,9599,10582,12138,14651,17096,20519,23626,21498,21345,16842,18145,18663,20395,20743,21656,23310,26255,26243,27659,29668,32123,41300
208,7415,8385,9556,10618,12123,14436,16798,20066,22733,21403,20634,16581,17749,18072,20398,20875,21109,23413,26636,26516,27152,29017,32217,41500
209,7206,8112,9392,10315,11535,13593,16324,20022,21267,20492,19727,16303,17551,17460,20019,20346,20536,22293,24955,25732,27087,28288,32868,41700
210,6953,8175,9087,10001,11715,13409,15783,19638,22151,20618,19860,16147,17275,17050,19311,19885,20269,22235,24734,26140,26945,28502,32618,41900
211,8770,9593,10511,11395,13060,15317,18118,21785,23370,22837,21788,17736,18940,18938,20981,21691,21963,24175,26307,27178,29791,31212,34607,42100
212,6766,7668,9083,9554,11156,12949,15187,18797,20343,19639,18801,15324,16289,16515,18722,19908,19847,20742,23688,24851,26940,27826,31865,42300
213,6763,7596,9014,9518,10691,12987,15154,18457,20084,19641,18276,15285,16127,16557,18437,19770,19439,21066,22782,25172,25627,28303,31188,42500
214,6816,7721,8816,9517,10584,12787,14518,18464,19571,18944,18336,15253,15821,15921,18250,19197,19821,20200,22565,23105,25795,27350,30625,42700
215,6617,7455,8574,9539,10308,12461,14339,17815,19234,18395,18451,14613,15437,15422,17925,18919,19441,20371,22158,22870,25282,27602,30757,42900
216,6333,7329,8583,9355,10340,12326,14289,17568,18954,18547,17567,14822,15303,16276,17363,18823,19335,20310,22220,23162,24858,27325,28993,43100
217,6798,7485,8765,9480,10660,12448,14803,17473,18964,17905,17407,14143,14728,15160,17776,18773,18831,19985,21787,22221,24667,27454,29174,43300
218,6322,7353,8208,8853,10035,11941,13913,16728,18415,17471,16836,13835,14326,15050,17099,18211,17859,20196,21179,21958,23581,26586,29677,43500
219,6182,7066,8315,8783,9766,11525,13507,16119,17703,16944,16207,13402,14171,14422,16398,18078,17278,19409,20951,21585,23006,26980,27950,43700
220,6186,6892,8008,8626,9528,11349,13394,15745,17272,16718,15743,13367,13914,14103,15451,17093,17057,18969,20982,20748,22681,27057,28432,43900
221,6030,6801,7805,8565,9573,11460,13367,16114,17250,16782,15535,13112,13856,13818,15657,16968,16832,19169,20709,20918,22821,26071,28525,44100
222,5890,6678,7599,8733,9351,10997,12747,15257,16608,16058,15013,12696,13557,13271,14686,15655,16339,18207,20303,20176,21822,26776,27857,44300
223,5772,6516,7583,8254,9454,10787,12669,15168,16650,16040,14900,12498,13016,13191,14429,15968,16369,17840,20203,20484,22532,24928,27218,44500
224,5548,6468,7288,8284,8950,10598,12247,14697,16187,15025,14390,12045,13058,12933,13983,15054,15893,17255,19570,20269,21146,23419,26160,44700
225,5642,6211,7282,8194,9172,10809,12450,14809,16107,15258,14566,12274,12953,13133,13737,15326,15773,17546,19254,19623,21443,24733,27103,44900
226,6249,7009,7871,8998,9493,11317,13254,15610,17279,16090,15392,13390,13725,13861,15013,15624,17732,18973,20873,21401,23368,25679,29578,45100
227,5484,5909,7149,8008,8676,9870,11763,14093,14903,14142,13742,11633,12048,12391,13595,14147,15074,17136,18587,18836,20347,23568,26758,45300
228,5469,5852,6767,7807,8682,9846,11866,14062,15043,14109,13626,11784,12123,12138,12995,13830,14603,16207,18037,19212,20641,22896,26625,45500
229,5176,6093,6965,7851,8591,9755,11401,13671,14730,13645,13370,11629,11632,11930,12940,13516,14037,16031,17975,18457,19933,23173,27275,45700
230,5373,5815,6702,7651,8472,9571,11004,13518,14608,14012,13319,11214,11830,11669,13068,13183,13743,15570,17374,17905,19702,22127,26324,45900
231,5070,5614,6530,7480,8530,9870,11160,13341,14108,13774,13198,11174,11376,11450,12883,13152,13870,15177,17145,18174,19917,22650,25459,46100
232,5193,5874,6730,7531,8102,9542,11009,12909,14036,13129,12522,11293,11356,11324,12416,13103,13235,14642,16628,17869,18766,21172,25320,46300
233,5053,5658,6338,7415,8322,9312,10570,12489,13451,12420,12470,10616,10801,10735,12436,12610,13050,14127,16351,17462,18505,20854,24354,46500
234,4853,5476,6360,7267,7927,8935,10385,12636,12992,12581,11971,10748,10828,11111,11720,12470,12778,13787,16049,17217,18883,21188,24417,46700
235,5096,5630,6395,7353,8138,9113,10472,12520,13215,12397,11778,10489,10653,10751,11782,12291,12548,13817,16059,16805,18105,20916,23316,46900
236,4698,5343,5995,7155,7972,8703,10007,12140,12794,11861,11585,10369,10620,10792,11283,12063,12476,13572,15272,16297,18406,20344,23127,47100
237,4665,5389,6152,7029,7848,8699,9842,11803,12422,12138,11269,10155,10172,10430,11313,11566,12061,13233,15036,16258,17791,19740,22075,47300
238,4572,5274,5808,6743,7506,8503,9661,11666,12467,11659,11125,10022,10006,10111,10791,11839,12185,13290,14804,15730,18067,19764,22825,47500
239,4486,5151,5765,6657,7686,8250,9707,11488,12269,11293,11032,9679,9820,10190,10807,11209,11669,12703,14090,14998,16742,18918,21433,47700
240,4371,5160,5613,6501,7470,8512,9576,11684,11831,11835,10769,9898,9833,9915,10619,11082,11508,12759,13625,15178,16784,18769,21249,47900
241,5272,5796,6554,7454,8357,9335,10892,12540,13008,12691,12369,11033,10803,10692,11290,11903,12822,13672,14987,15812,17766,19815,22923,48100
242,4233,4984,5674,6297,7236,8366,9243,10839,11230,10882,10465,9541,9620,9625,10188,10710,11046,12166,13357,14381,15856,18597,20815,48300
243,4243,4850,5404,6228,7129,7957,9036,10859,11467,10635,10447,9351,9367,9573,10107,10676,10834,12181,13085,14060,15444,18044,20055,48500
244,4270,4831,5643,6258,7317,8233,8980,10531,11504,10717,10214,9416,9407,9522,10058,10497,11166,12515,12876,13819,15229,17908,20215,48700
245,4086,4608,5458,5998,7139,8047,8650,10172,11426,10210,10148,8996,9183,9108,9884,10317,10536,11617,13497,14194,15365,18120,20222,48900
246,3995,4533,5290,6121,7101,8030,8929,10695,11022,10369,10144,9500,9341,9465,10006,10257,10824,11591,13026,13397,15293,17885,20240,49100
247,4147,4673,5284,5883,6970,7829,8733,9942,11017,10292,10121,9621,9169,9359,9518,9816,10335,11310,12424,13087,14422,17013,19106,49300
248,4039,4428,5287,5834,6717,7738,8388,9886,10549,9886,9754,9067,9034,8930,9445,10012,10356,11458,12433,12672,14550,17063,18893,49500
249,3816,4412,4984,5486,6668,7735,8442,9720,10049,9641,9665,8667,8847,8753,8932,9427,9883,10799,12005,12144,14295,16520,18773,49700
250,3827,4217,5065,5849,6548,7653,8665,9772,10436,9979,9971,8800,9035,8915,9288,9709,10446,11258,12403,12629,14388,16925,19457,49900
251,3783,4361,5241,5968,6711,7910,8930,10217,10511,10264,10324,9340,9858,9636,9952,10583,11168,12096,13157,13088,15196,17432,20087,50100
252,3565,4154,4911,5491,6260,7523,8077,9235,9572,9335,9112,8233,8676,8573,8951,9301,9875,10725,11743,11855,13437,15432,18413,50300
253,4145,4635,5127,5882,6713,7476,8437,9428,9716,9758,9464,8481,8611,8719,9172,9480,9901,10831,11597,12236,13476,15660,18264,50500
254,3587,4009,4583,5322,6183,7081,7724,8988,9396,9314,8994,8240,8389,8632,8658,9085,9342,10250,11157,11349,12800,14918,18078,50700
255,3516,3927,4513,5153,5895,7089,7846,8840,9212,9016,8850,8128,8271,8325,8727,9100,9390,10082,10819,11183,13071,14739,17732,50900
256,3841,4358,4910,5427,6260,7242,8056,9140,9427,9322,8673,8187,8152,8470,8682,9103,9480,10435,11010,11202,12336,14620,17313,51100
257,3576,3854,4650,5100,5853,6880,7614,8517,8985,8908,8614,7926,7910,7939,8401,8793,9056,9821,10750,10901,12211,14074,17064,51300
258,3388,3762,4462,5044,6014,6805,7621,8344,8913,8860,8507,7778,7872,7833,8319,8636,8939,9570,10613,11005,11993,14163,16957,51500
259,3421,3818,4459,5002,5741,6816,7488,8198,8806,8623,8279,7794,7912,8026,8165,8518,9144,9514,10368,10525,11659,13907,16474,51700
260,3342,3766,4506,4786,5585,6604,7482,8415,8589,8487,8488,7634,7565,7748,8178,8295,9012,9735,10246,10614,11504,13683,16094,51900
261,3311,3620,4316,4854,5577,6635,7486,8539,8505,8492,8445,7563,7776,7878,8077,8593,9147,9692,10411,10575,11432,13419,15635,52100
262,3218,3580,4226,4844,5369,6332,7058,8117,8269,8226,8003,7284,7463,7374,7841,8335,8548,9243,9981,10011,10956,12690,15419,52300
263,3208,3701,4081,4752,5494,6345,7292,8408,8286,8426,8028,7205,7487,7437,7781,8345,8518,9258,9868,10047,11175,12881,15249,52500
264,3145,3529,3995,4661,5291,6183,7077,7850,8256,7976,7837,7099,7491,7243,7649,7774,8200,8960,9513,9880,10779,12174,14493,52700
265,3006,3618,4172,4475,5151,6121,6830,7935,8220,8143,7829,7029,7182,7246,7644,7977,8509,9100,9516,9790,10762,11933,14612,52900
266,3109,3488,4078,4565,5183,5980,6815,7773,8177,8099,7793,7183,7166,7107,7458,7978,8010,8947,9561,9757,10874,12236,14651,53100
267,2893,3286,3898,4321,5047,6049,6770,7601,7815,7793,7562,7050,7006,6929,7277,7631,7836,8804,9301,9440,10322,11786,13984,53300
268,2903,3421,3773,4393,4965,5916,6639,7470,7563,7694,7504,6878,6940,6971,7150,7622,7760,8683,9256,9115,10203,11675,13869,53500
269,2890,3245,3837,4240,4838,5741,6413,7356,7546,7610,7257,6812,6773,6723,7178,7423,7604,8380,9193,9290,9927,11263,13547,53700
270,2747,3359,3714,4187,4815,5669,6541,7345,7653,7488,7332,6613,6828,6819,7088,7439,7820,8476,9283,9071,9955,11135,13346,53900
271,3521,3764,4154,4592,5344,6213,6974,7925,8091,7924,7536,7051,7203,7232,7444,7659,8199,8600,9496,9423,10356,11828,13753,54100
272,2814,3274,3679,4048,4583,5570,6212,7247,7105,7032,7026,6410,6738,6638,6907,7257,7505,8008,8593,8780,9446,10838,12670,54300
273,2873,3039,3644,3967,4602,5552,6227,7011,7184,7041,7035,6500,6446,6495,6846,7163,7501,8096,8734,8844,9540,10794,12218,54500
274,2837,3207,3529,3973,4796,5428,6318,7022,7439,7091,6999,6519,6560,6546,6797,6941,7519,7769,8639,8786,9469,10536,12363,54700
275,2643,3037,3508,3963,4625,5440,6142,7081,7304,7365,6934,6457,6787,6563,7066,7213,7665,8287,8891,8868,9765,10864,12643,54900
276,2644,3043,3592,3956,4572,5379,6246,7323,7365,6950,6979,6416,6485,6505,6808,7087,7607,7941,8724,8756,9651,10898,12648,55100
277,2683,2983,3551,3870,4471,5248,6126,7017,6872,7117,7036,6198,6332,6333,6582,6922,7182,7693,8432,8452,9206,10271,11902,55300
278,2619,3009,3410,3816,4494,5028,5776,6568,6752,6798,6615,6152,6218,6259,6631,6748,7147,7640,8194,8507,9024,9999,11521,55500
279,2432,2946,3334,3784,4205,4993,5933,6504,6855,6477,6298,6186,6001,5997,6510,6598,7117,7712,7815,8126,8831,9993,11212,55700
280,2456,2810,3304,3705,4246,4982,5765,6500,6647,6407,6412,6168,5993,6038,6355,6536,6971,7388,8112,8013,8661,9862,11113,55900
281,2506,2791,3298,3812,4377,5402,6322,6973,6963,7051,6678,6259,6374,6374,6630,6878,7249,7711,8205,8497,9068,9890,11591,56100
282,2434,2759,3175,3497,4134,4787,5673,6379,6635,6302,6273,5935,5955,5697,6155,6526,6699,7113,7847,8055,8693,9547,10817,56300
283,2461,2758,3182,3508,4004,4699,5592,6516,6375,6350,6185,5636,5834,5803,6311,6559,6896,7239,7937,7702,8486,9600,10642,56500
284,2359,2677,3095,3456,4050,4920,5677,6350,6375,6276,6202,5731,5866,5887,6241,6444,6579,7384,7609,7734,8567,9520,10632,56700
285,2245,2581,3050,3466,3874,4615,5587,6145,6337,6007,6018,5502,5618,5683,6007,6317,6509,7122,7673,8019,8449,9466,10716,56900
286,2356,2628,3143,3576,3966,4642,5413,6161,6377,6212,6250,5564,5594,5734,6044,6306,6510,6985,7668,7824,8329,9106,10522,57100
287,2300,2564,3021,3399,3884,4478,5305,6057,6197,6070,5978,5425,5544,5629,5866,5994,6256,6803,7234,7244,8049,9049,10247,57300
288,2213,2581,2960,3251,3881,4550,5506,6264,6044,6091,6105,5570,5524,5822,5773,6218,6308,6802,7265,7439,8102,9008,10313,57500
289,2254,2596,3104,3404,3831,4610,5387,5914,6046,5918,6026,5410,5422,5487,5786,6071,6115,6657,7195,7218,7937,8697,10040,57700
290,2085,2411,2900,3129,3640,4430,5037,5772,5928,5710,5812,5225,5398,5572,5738,5957,6245,6630,7048,7187,7789,8628,9919,57900
291,2121,2359,2860,3233,3624,4165,5306,5772,5873,5740,5490,5355,5328,5389,5742,6031,6169,6546,7256,7188,7649,8799,9935,58100
292,2117,2335,2772,3100,3605,4213,4854,5612,5671,5586,5407,5104,5157,5270,5588,5712,6040,6452,6834,7065,7736,8497,9676,58300
293,2027,2504,2926,3280,3585,4104,5002,5582,5631,5488,5482,4941,5025,5185,5464,5706,6076,6410,6865,7148,7896,8575,9631,58500
294,1912,2275,2700,3005,3557,4113,4764,5300,5753,5414,5285,4853,5012,5026,5339,5635,6063,6189,6719,6806,7574,8318,9148,58700
295,2168,2474,2843,3111,3560,4066,4980,5465,5589,5479,5400,4938,5042,5011,5237,5669,5879,6272,6705,7065,7410,8230,9274,58900
296,2019,2267,2601,3076,3431,4170,4868,5406,5541,5430,5323,4949,5072,5041,5179,5588,5894,6448,6807,6719,7407,8149,9277,59100
297,1962,2289,2599,2872,3513,4051,4724,5223,5377,5383,5215,4755,4830,4714,5012,5378,5682,6144,6652,6783,7320,8005,9198,59300
298,1891,2129,2530,2913,3446,3954,4603,5258,5450,5105,5280,4628,4846,4860,5130,5443,5642,6460,6725,6839,7124,8282,9144,59500
299,1904,2139,2421,2823,3371,3880,4553,5217,5240,5102,5028,4541,4658,4749,5233,5389,5378,6001,6409,6789,7107,7894,8893,59700
300,1943,2134,2530,2883,3414,4033,4896,5556,5339,5244,5489,4703,4990,5001,5177,5663,5881,6218,6682,7021,7527,8299,9229,59900
301,2423,2767,3097,3682,4089,4737,5868,6485,6548,6450,6583,5803,5872,5977,6125,6701,6972,7595,8530,8418,9379,10245,11269,60100
302,1764,2093,2452,2846,3217,3658,4313,5026,5095,4815,5052,4472,4692,4712,4885,5141,5429,5703,6159,6395,6987,7859,8545,60300
303,1751,2150,2387,2791,3167,3735,4249,5019,4966,4838,5106,4464,4420,4613,4833,5193,5224,5758,6211,6553,7106,7566,8982,60500
304,1814,2024,2368,2772,3165,3709,4245,4939,4908,5033,5152,4267,4385,4430,4846,5048,5336,5632,6140,6213,7014,7591,8566,60700
305,1743,1963,2344,2601,3244,3582,4280,4920,4953,4863,4948,4564,4420,4391,4780,5199,5157,5605,6128,6256,6917,7495,8540,60900
306,1702,1997,2312,2666,3036,3589,4266,4782,4793,4667,4803,4245,4550,4420,4658,4976,5216,5630,5869,6129,6826,7434,8235,61100
307,1727,1937,2289,2658,3065,3619,4092,4877,4667,4909,4831,4400,4248,4363,4667,4842,4997,5417,6091,6112,6903,7333,8387,61300
308,1620,1846,2277,2518,2926,3504,4028,4774,4591,4653,4752,4285,4294,4059,4506,4812,4903,5417,5872,6189,6655,7400,8198,61500
309,1695,1847,2319,2610,2934,3547,4109,4742,4654,4639,4590,4325,4285,4253,4551,4831,5053,5377,5754,6006,6454,7317,8056,61700
310,1735,1861,2278,2608,3164,3382,3941,4627,4612,4571,4577,4099,4100,4134,4336,4672,4861,5296,5701,5955,6463,7212,8191,61900
311,1651,1904,2204,2407,3021,3429,4047,4718,4578,4563,4585,4190,4120,4258,4545,4756,4890,5235,5702,5947,6407,7154,7907,62100
312,1590,1769,2118,2421,2900,3347,3989,4533,4378,4430,4413,3994,3969,4024,4319,4634,4674,5179,5688,5635,6388,6956,7792,62300
313,1531,1738,2184,2518,2845,3367,3869,4662,4540,4549,4637,3948,4059,3976,4349,4505,4876,5237,5583,5777,6421,7106,7732,62500
314,1503,1787,2057,2428,2775,3254,3671,4409,4257,4331,4276,3890,3843,4045,4339,4454,4598,4817,5425,5601,6157,7093,7547,62700
315,1501,1712,2047,2297,2768,3149,3722,4385,4288,4458,4216,3825,3823,3916,4169,4375,4646,5000,5333,5559,6116,7000,7520,62900
316,1828,2060,2234,2487,3013,3450,3981,4632,4674,4599,4475,4050,3943,3925,4279,4593,4669,5105,5587,5754,6292,6897,7711,63100
317,1419,1640,1925,2200,2642,3194,3748,4187,4197,4107,4137,3830,3765,3785,4021,4260,4462,4823,5303,5501,5928,6701,7390,63300
318,1444,1674,2030,2308,2640,3046,3572,4117,4283,4162,4128,3686,3734,3640,3983,4230,4457,4803,5310,5281,5926,6771,7370,63500
319,1379,1622,1903,2181,2656,3043,3500,4076,4170,4189,4068,3614,3756,3688,4014,4132,4328,4751,5184,5241,5648,6533,7300,63700
320,1344,1542,1966,2171,2550,3029,3486,4211,4077,4066,4015,3758,3663,3513,3843,4050,4234,4734,5171,5329,5775,6538,7395,63900
321,1346,1561,1885,2200,2513,2972,3563,4118,4113,4101,3953,3741,3697,3704,3861,4104,4314,4710,5090,5222,5571,6352,7324,64100
322,1330,1570,1871,2167,2504,3230,3380,4064,3921,3985,3810,3593,3611,3718,4011,4120,4299,4632,4900,5116,5413,6549,7047,64300
323,1345,1653,1893,2075,2495,3008,3498,3943,4148,3978,3883,3560,3560,3546,3788,4148,4183,4587,4944,5048,5547,6490,7162,64500
324,1289,1475,1758,2157,2418,2893,3352,3928,4012,3851,3842,3582,3444,3548,3655,3908,4093,4382,4799,4945,5340,6145,7116,64700
325,1410,1640,1845,2003,2428,2955,3470,3891,4138,3948,3831,3467,3472,3544,3640,3941,4055,4661,4946,5017,5431,6361,7276,64900
326,1318,1495,1783,2162,2535,2936,3623,4009,4153,4009,4038,3680,3619,3610,3856,4077,4330,4776,5234,5155,5776,6682,7580,65100
327,1235,1509,1670,2015,2399,2823,3362,3795,3828,3682,3730,3609,3441,3382,3550,3718,4070,4382,4489,4671,5237,6067,6880,65300
328,1271,1446,1724,1908,2349,2727,3246,3786,3855,3675,3631,3372,3355,3268,3497,3554,3881,4378,4747,4727,5042,5960,6767,65500
329,1184,1453,1766,1843,2215,2642,3251,3571,3834,3709,3555,3383,3314,3386,3506,3615,3795,4164,4553,4636,5153,5908,6671,65700
330,1181,1267,1684,1890,2159,2701,3127,3616,3681,3675,3608,3417,3337,3289,3475,3613,3772,4220,4608,4613,4903,5849,6616,65900
331,1471,1651,1892,2109,2428,3003,3505,3912,3908,3761,3824,3501,3445,3408,3603,3644,4008,4272,4685,4739,5227,6053,6879,66100
332,1187,1330,1672,1878,2229,2733,3106,3447,3556,3520,3446,3277,3233,3162,3298,3627,3782,4136,4446,4526,4873,5696,6370,66300
333,1115,1319,1600,1821,2182,2653,3126,3470,3631,3456,3487,3170,3118,3229,3398,3529,3650,3981,4277,4607,4833,5711,6317,66500
334,1183,1360,1518,1850,2087,2489,3143,3549,3538,3574,3334,3124,3049,3091,3317,3463,3686,3944,4538,4389,4937,5587,6403,66700
335,1062,1210,1569,1731,2159,2452,2983,3408,3388,3291,3312,3088,3092,3165,3193,3533,3582,3951,4251,4420,4836,5495,6270,66900
336,1064,1302,1491,1738,2124,2551,3110,3486,3529,3440,3401,3152,3008,3100,3230,3566,3642,3901,4428,4599,4874,5527,6449,67100
337,1177,1367,1564,1776,2167,2565,2944,3481,3331,3347,3504,3185,3118,3116,3210,3406,3661,3871,4109,4443,4736,5252,6220,67300
338,1070,1241,1506,1830,2105,2521,2919,3318,3406,3336,3261,2995,3003,3127,3108,3359,3533,3771,4156,4136,4672,5361,6156,67500
339,1061,1215,1499,1768,2070,2382,2838,3289,3302,3339,3331,3030,2966,2878,3152,3305,3398,3618,4106,4311,4557,5013,6074,67700
340,1100,1208,1395,1739,2040,2417,2858,3290,3364,3221,3273,3023,2929,2942,3174,3244,3425,3717,3994,4296,4535,5217,5977,67900
341,1013,1143,1509,1739,2040,2396,2910,3312,3276,3317,3355,3023,2961,2910,3198,3300,3438,3712,3989,4228,4496,5187,6096,68100
342,1048,1207,1447,1613,1933,2275,3015,3133,3232,3143,3129,2835,2847,2825,3024,3241,3388,3506,3922,4307,4402,5056,5875,68300
343,1026,1190,1446,1615,1891,2333,3066,3094,3304,3157,3075,3018,2808,2917,2986,3328,3384,3611,3907,4046,4362,4994,5822,68500
344,1012,1149,1384,1584,1887,2342,2739,3206,3140,3056,3093,2784,2825,2914,2978,3122,3236,3447,3762,3938,4351,4849,5715,68700
345,967,1091,1421,1530,1857,2206,2748,3040,3123,3083,3023,2661,2838,2831,2911,3192,3250,3455,3846,3946,4133,4801,5556,68900
346,1070,1180,1466,1610,1933,2352,2790,3457,3183,3099,3154,2914,2841,2876,3028,3123,3301,3710,3982,4109,4255,5016,5634,69100
347,986,1110,1320,1564,1820,2201,2670,3178,3011,2994,2965,2756,2703,2683,2764,3074,3131,3467,3807,3833,4317,4795,5450,69300
348,963,1089,1302,1427,1817,2137,2555,3062,2994,2902,2961,2694,2755,2826,2825,3090,3050,3374,3628,3892,4128,4877,5444,69500
349,949,1134,1384,1473,1782,2164,2622,3028,3000,2897,3019,2805,2701,2764,2834,2979,3162,3466,3684,3781,4162,4676,5355,69700
350,958,1050,1329,1501,1773,2129,2601,3050,3059,3038,2944,2678,2815,2807,2952,3123,3185,3484,3823,3923,4307,4886,5488,69900
351,887,1052,1350,1633,1931,2287,2923,3438,3400,3424,3320,3037,2959,2993,3072,3271,3637,3872,4093,4233,4662,5316,5994,70100
352,944,1024,1225,1466,1708,2079,2508,2889,2821,2876,2861,2583,2555,2714,2671,2901,3060,3263,3677,3646,4240,4656,5259,70300
353,834,989,1215,1429,1662,2083,2414,2922,3460,2882,2881,2569,2632,2596,2855,2843,3000,3292,3492,3680,3954,4583,5324,70500
354,870,1002,1178,1437,1664,2037,2468,2844,2877,2812,2840,2492,2511,2500,2703,2767,2984,3215,3490,3654,4012,4573,5320,70700
355,883,967,1158,1379,1719,1944,2497,2825,2807,2761,2839,2585,2538,2555,2676,2850,3014,3146,3542,3603,3837,4455,5022,70900
356,848,1042,1172,1386,1623,2001,2487,2819,2804,3277,2802,2548,2433,2511,2724,2801,2933,3213,3413,3583,3856,4421,5141,71100
357,810,953,1184,1293,1565,1911,2383,2742,2703,2734,2753,2426,2440,2438,2620,2961,2785,3079,3369,3461,3849,4474,4930,71300
358,882,949,1146,1345,1575,1950,2433,2748,2670,2717,2779,2357,2453,2539,2641,2888,2844,3186,3374,3501,3754,4531,5006,71500
359,857,988,1063,1315,1626,1886,2353,2759,2652,2599,2633,2458,2416,2397,2544,2653,2926,3042,3359,3515,3980,4263,5033,71700
360,816,964,1132,1272,1592,1810,2345,2660,2630,2670,2649,2385,2374,2427,2515,2708,2859,3019,3352,3441,3677,4291,4729,71900
361,1354,1425,1630,1825,2097,2514,3027,3325,3281,3210,3173,2796,2705,2736,2772,3007,3198,3329,3800,3738,4179,4808,5262,72100
362,795,898,1026,1322,1517,1883,2294,2524,2591,2569,2560,2417,2453,2356,2494,2577,2781,3029,3160,3330,3634,4220,4788,72300
363,771,873,1055,1385,1583,1784,2285,2592,2614,2609,2609,2313,2240,2426,2547,2501,2821,2884,3105,3371,3661,3988,4653,72500
364,823,908,1015,1231,1507,1804,2197,2506,2551,2495,2520,2319,2410,2348,2421,2610,2711,2941,3160,3188,3498,4073,4622,72700
365,771,902,1063,1194,1530,1746,2147,2773,2577,2622,3081,2325,2261,2287,2397,2505,2808,2911,3083,3203,3704,3916,4689,72900
366,814,853,1047,1264,1435,1742,2253,2540,2496,2625,2444,2294,2258,2341,2508,2549,2680,2887,3239,3169,3544,3980,4655,73100
367,787,831,1013,1150,1428,1773,2144,2505,2509,2368,2517,2286,2255,2177,2345,2455,2554,3041,2979,3117,3468,3865,4452,73300
368,728,851,964,1215,1412,1708,2224,2525,2482,2499,2477,2141,2166,2298,2413,2632,2611,2811,3063,3134,3402,3832,4591,73500
369,786,898,958,1132,1344,1676,2069,2365,2422,2382,2465,2121,2307,2174,2343,2497,2627,2672,2983,3129,3347,3894,4301,73700
370,780,831,1032,1190,1424,1657,2231,2453,2416,2448,2460,2177,2160,2210,2256,2426,2540,2776,2930,3031,3343,3993,4407,73900
371,789,866,961,1134,1394,1694,2152,2463,2397,2413,2357,2184,2008,2170,2251,2444,2501,2908,3227,3127,3343,3926,4311,74100
